ID,wave,study_condition,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7100,1,1,5,3,4,4,0,0,3,3,3
7101,1,1,6,6,6,6,4,0,6,6,6
7102,1,2,6,6,6,6,2,0,6,4,2
7103,1,2,4,6,6,6,0,0,6,6,6
7104,1,1,6,6,6,6,0,0,6,6,6
7105,1,1,6,6,6,6,0,0,5,5,6
7106,1,4,6,6,6,2,0,0,6,6,6
7107,1,4,6,6,6,4,0,0,4,4,4
7108,1,2,6,6,5,5,4,2,6,6,5
7109,1,2,6,4,6,6,4,2,6,6,6
7110,1,1,6,4,6,4,0,0,6,4,4
7111,1,1,6,6,6,6,0,0,6,6,6
7112,1,3,6,0,6,6,3,3,5,5,5
7113,1,3,6,6,6,6,4,0,6,6,6
7114,1,2,6,4,6,5,0,0,5,4,5
7115,1,2,6,4,6,6,1,0,6,6,6
7116,1,3,6,6,6,6,0,0,6,6,6
7117,1,3,6,6,6,6,0,0,6,6,6
7118,1,1,6,6,6,6,0,0,6,6,6
7119,1,1,6,6,6,6,0,0,6,6,6
7120,1,4,6,6,6,6,0,0,6,6,6
7121,1,4,6,6,6,6,0,0,6,6,6
7122,1,2,6,6,6,6,0,0,6,6,6
7123,1,2,6,6,6,6,0,0,6,6,6
7124,1,2,6,6,6,6,0,0,6,5,6
7125,1,2,6,6,6,6,0,0,6,6,6
7126,1,3,5,6,4,6,2,3,6,6,5
7127,1,3,6,6,6,6,0,2,6,4,6
7128,1,4,6,6,6,6,0,0,6,6,5
7129,1,4,6,5,6,6,0,0,6,6,6
7130,1,3,6,6,6,6,0,0,6,6,6
7131,1,3,6,6,6,6,0,2,6,6,6
7132,1,1,6,6,6,6,0,0,6,6,6
7133,1,1,6,6,6,6,0,0,6,6,6
7134,1,4,6,6,6,6,0,0,6,6,6
7135,1,4,6,6,6,6,0,0,6,6,6
7136,1,2,6,6,6,6,0,2,6,6,6
7137,1,2,6,4,6,6,0,0,6,6,4
7138,1,2,6,6,6,6,0,0,6,6,6
7139,1,2,6,4,6,6,2,0,6,4,6
