ID,wave,crs01,crs02,crs04,crs06,crs16,crs22,crs24,crs25,crs27
7100,4,5,3,5,5,4,0,2,5,5
7101,4,5,5,5,5,3,0,5,5,4
7102,4,6,6,6,6,0,0,6,4,4
7103,4,5,5,5,5,5,1,5,5,5
7104,4,6,6,6,6,0,0,6,6,6
7105,4,6,6,6,6,0,0,5,5,5
7106,4,6,6,6,4,0,0,6,6,6
7107,4,6,6,6,4,0,2,6,4,4
7108,4,6,6,4,5,0,1,6,6,6
7109,4,6,6,6,6,0,0,6,6,6
7110,4,6,6,6,6,4,2,6,6,4
7111,4,6,6,6,6,6,0,6,6,6
7112,4,6,2,5,5,0,0,5,5,3
7113,4,6,4,6,4,0,0,6,6,6
7114,4,6,2,6,6,0,0,6,6,6
7115,4,6,2,6,6,0,0,4,6,6
7116,4,6,6,6,6,0,0,6,6,6
7117,4,6,0,4,6,0,0,6,6,6
7118,4,6,6,6,6,0,0,6,6,6
7119,4,6,6,6,6,2,0,6,6,6
7120,4,5,6,5,6,0,0,6,5,5
7121,4,6,6,6,6,0,0,6,6,6
7122,4,0,0,0,0,4,6,0,4,3
7123,4,6,6,5,5,1,0,6,6,6
7124,4,6,6,6,2,0,0,6,6,6
7125,4,-666,-666,-666,-666,-666,-666,-666,-666,-666
7126,4,6,6,6,6,0,0,6,6,6
7127,4,6,5,5,4,0,0,5,4,6
7128,4,6,6,6,6,0,0,6,5,5
7129,4,6,6,6,6,0,0,6,4,4
7130,4,6,6,6,6,0,0,6,6,6
7131,4,6,6,6,6,0,0,4,6,6
7132,4,6,5,6,6,0,0,6,6,6
7133,4,6,5,6,6,0,0,6,6,6
7134,4,6,2,4,6,3,0,4,5,5
7135,4,6,6,6,5,4,2,5,4,5
7136,4,6,3,6,6,2,0,4,5,6
7137,4,6,5,6,6,2,4,6,6,6
7138,4,6,5,6,6,0,0,6,6,6
7139,4,6,6,6,0,0,0,5,5,6
7140,4,6,4,2,2,4,0,-888,6,4
7141,4,6,6,6,6,2,0,6,6,4
7142,4,6,6,6,6,0,0,6,5,6
7143,4,6,6,6,6,0,0,6,6,6
7144,4,6,6,6,6,0,0,6,4,6
7145,4,6,6,6,6,0,0,6,6,6
7146,4,6,6,4,6,0,0,6,6,6
7147,4,6,6,6,6,0,0,6,6,6
7148,4,6,6,6,6,0,0,6,6,6
7149,4,6,6,6,6,0,0,6,6,6
7150,4,6,6,6,6,0,0,6,6,6
7151,4,6,2,6,5,6,5,5,1,5
7152,4,6,6,6,2,0,0,6,4,6
7153,4,6,4,6,6,0,2,6,6,6
7154,4,6,6,6,4,2,0,6,6,4
7155,4,6,6,6,6,0,0,6,6,6
7156,4,5,6,6,5,4,1,6,6,6
7157,4,6,6,6,6,0,0,6,4,6
7158,4,6,6,6,6,0,0,6,6,6
7159,4,6,4,6,6,0,0,6,6,6
7160,4,6,5,6,6,0,0,6,6,6
7161,4,6,2,6,5,0,1,4,4,4
7162,4,6,2,6,6,1,0,5,4,4
7163,4,6,6,6,6,0,0,6,6,6
7164,4,6,5,6,6,0,0,6,6,6
7165,4,6,6,5,4,6,3,6,3,3
7166,4,4,6,6,2,1,1,6,6,2
7167,4,6,3,6,6,0,0,6,6,5
7168,4,6,6,6,6,0,0,6,6,6
